,a2i,vowels,binary
1000,advocated,4,0000000110000111001001110110110111111000111100001111010011001011100100
1001,climb,1,0000000000000000000000000000000000011000111101100110100111011011100010
1002,pan,1,0000000000000000000000000000000000000000000000000111000011000011101110
1003,female,3,0000000000000000000000000000110011011001011101101110000111011001100101
1004,onward,2,0000000000000000000000000000110111111011101110111110000111100101100100
1005,tissues,3,0000000000000000000001110100110100111100111110011111010111001011110011
1006,cix,1,0000000000000000000000000000000000000000000000000110001111010011111000
1007,heskes,2,0000000000000000000000000000110100011001011110011110101111001011110011
1008,remained,4,0000000000000011100101100101110110111000011101001110111011001011100100
1009,interspike,4,1101001110111011101001100101111001011100111110000110100111010111100101
1010,proposal,3,0000000000000011100001110010110111111100001101111111001111000011101100
1011,clouse,3,0000000000000000000000000000110001111011001101111111010111100111100101
1012,odd,1,0000000000000000000000000000000000000000000000000110111111001001100100
1013,mathematic,4,1101101110000111101001101000110010111011011100001111010011010011100011
1014,memorandum,4,1101101110010111011011101111111001011000011101110110010011101011101101
1015,k2j,0,0000000000000000000000000000000000000000000000000011010111100101101010
1016,cbp,0,0000000000000000000000000000000000000000000000000110001111000101110000
1017,andersen,3,0000000000000011000011101110110010011001011110010111001111001011101110
1018,beneficial,5,1100010110010111011101100101110011011010011100011110100111000011101100
1020,nnbm,0,0000000000000000000000000000000000000000001101110110111011000101101101
1021,gra,1,0000000000000000000000000000000000000000000000000110011111100101100001
1022,ficient,3,0000000000000000000001100110110100111000111101001110010111011101110100
1023,memories,4,0000000000000011011011100101110110111011111110010110100111001011110011
1024,assembler,3,0000000110000111100111110011110010111011011100010110110011001011110010
1025,hod,1,0000000000000000000000000000000000000000000000000110100011011111100100
1026,massively,3,0000000110110111000011110011111001111010011110110110010111011001111001
1027,nicol,2,0000000000000000000000000000000000011011101101001110001111011111101100
1028,zador,2,0000000000000000000000000000000000011110101100001110010011011111110010
1029,saxophone,4,0000000111001111000011111000110111111100001101000110111111011101100101
1030,chuang,2,0000000000000000000000000000110001111010001110101110000111011101100111
1031,pomerleau,5,0000000111000011011111101101110010111100101101100110010111000011110101
1032,c20,0,0000000000000000000000000000000000000000000000000001100011110010110000
1033,ues,2,0000000000000000000000000000000000000000000000000111010111001011110011
1034,devices,3,0000000000000000000001100100110010111101101101001110001111001011110011
1035,altogether,4,1100001110110011101001101111110011111001011110100110100011001011110010
1036,yarom,2,0000000000000000000000000000000000011110011100001111001011011111101101
1037,coronary,3,0000000000000011000111101111111001011011111101110110000111100101111001
1038,nonzero,3,0000000000000000000001101110110111111011101111010110010111100101101111
1039,rev,1,0000000000000000000000000000000000000000000000000111001011001011110110
1040,takahashi,4,0000000111010011000011101011110000111010001100001111001111010001101001
1041,encourage,5,0000000110010111011101100011110111111101011110010110000111001111100101
1042,psom,1,0000000000000000000000000000000000000000001110000111001111011111101101
1043,ponent,2,0000000000000000000000000000111000011011111101110110010111011101110100
1044,task,1,0000000000000000000000000000000000000000001110100110000111100111101011
1047,hoff,1,0000000000000000000000000000000000000000001101000110111111001101100110
1048,behavior,4,0000000000000011000101100101110100011000011110110110100111011111110010
1049,analyte,3,0000000000000000000001100001110111011000011101100111100111101001100101
1050,healthy,2,0000000000000000000001101000110010111000011101100111010011010001111001
1051,trivial,3,0000000000000000000001110100111001011010011110110110100111000011101100
1052,bergman,2,0000000000000000000001100010110010111100101100111110110111000011101110
1053,rit,1,0000000000000000000000000000000000000000000000000111001011010011110100
1054,knowl,1,0000000000000000000000000000000000011010111101110110111111101111101100
1055,panel,2,0000000000000000000000000000000000011100001100001110111011001011101100
1057,sij,1,0000000000000000000000000000000000000000000000000111001111010011101010
1058,virtually,3,0000000111011011010011110010111010011101011100001110110011011001111001
1059,atr,1,0000000000000000000000000000000000000000000000000110000111101001110010
1060,succeeding,4,1110011111010111000111100011110010111001011100100110100111011101100111
1061,lambert,2,0000000000000000000001101100110000111011011100010110010111100101110100
1062,hkw95,0,0000000000000000000000000000000000000110100011010111110111111001110101
1063,nervous,3,0000000000000000000001101110110010111100101110110110111111101011110011
1064,west,1,0000000000000000000000000000000000000000001110111110010111100111110100
1065,picking,2,0000000000000000000001110000110100111000111101011110100111011101100111
1066,gaussi,3,0000000000000000000000000000110011111000011110101111001111100111101001
1067,assumes,3,0000000000000000000001100001111001111100111110101110110111001011110011
1069,jour,2,0000000000000000000000000000000000000000001101010110111111101011110010
1070,clever,2,0000000000000000000000000000110001111011001100101111011011001011110010
1071,lafayette,4,0000000110110011000011100110110000111110011100101111010011101001100101
1072,lsf,0,0000000000000000000000000000000000000000000000000110110011100111100110
1073,surement,3,0000000000000011100111110101111001011001011101101110010111011101110100
1074,wine,2,0000000000000000000000000000000000000000001110111110100111011101100101
1075,modulatory,4,1101101110111111001001110101110110011000011110100110111111100101111001
1076,sought,2,0000000000000000000000000000111001111011111110101110011111010001110100
1078,dsp,0,0000000000000000000000000000000000000000000000000110010011100111110000
1079,mismatches,3,1101101110100111100111101101110000111101001100011110100011001011110011
1080,signaled,3,0000000000000011100111101001110011111011101100001110110011001011100100
1081,summed,2,0000000000000000000000000000111001111101011101101110110111001011100100
1082,perceives,4,0000000111000011001011110010110001111001011101001111011011001011110011
1083,luminanee,5,0000000110110011101011101101110100111011101100001110111011001011100101
1084,detection,4,0000000110010011001011110100110010111000111110100110100111011111101110
1085,slip,1,0000000000000000000000000000000000000000001110011110110011010011110000
1086,revolution,5,1110010110010111101101101111110110011101011110100110100111011111101110
1087,simon,2,0000000000000000000000000000000000011100111101001110110111011111101110
1088,attempt,2,0000000000000000000001100001111010011101001100101110110111100001110100
1089,io0,2,0000000000000000000000000000000000000000000000000011010011101111110000
1090,turner,2,0000000000000000000000000000111010011101011110010110111011001011110010
1091,optimality,4,1101111111000011101001101001110110111000011101100110100111101001111001
1092,playing,2,0000000000000000000001110000110110011000011111001110100111011101100111
1093,crude,2,0000000000000000000000000000000000011000111110010111010111001001100101
1094,predictor,3,0000000111000011100101100101110010011010011100011111010011011111110010
1095,eigenface,5,0000000110010111010011100111110010111011101100110110000111000111100101
1096,initially,4,0000000110100111011101101001111010011010011100001110110011011001111001
1097,ying,1,0000000000000000000000000000000000000000001111001110100111011101100111
1098,hidden,2,0000000000000000000000000000110100011010011100100110010011001011101110
1099,decaying,3,0000000000000011001001100101110001111000011111001110100111011101100111
1100,struction,3,0000000111001111101001110010111010111000111110100110100111011111101110
1101,demand,2,0000000000000000000000000000110010011001011101101110000111011101100100
1102,ripley,2,0000000000000000000000000000111001011010011110000110110011001011111001
1103,spelling,2,0000000000000011100111110000110010111011001101100110100111011101100111
1104,dictates,3,0000000000000011001001101001110001111101001100001111010011001011110011
1105,decom,2,0000000000000000000000000000000000011001001100101110001111011111101101
1106,gpe,1,0000000000000000000000000000000000000000000000000110011111100001100101
1107,schnitger,2,0000000111001111000111101000110111011010011110100110011111001011110010
1108,indirect,3,0000000000000011010011101110110010011010011110010110010111000111110100
1109,listing,2,0000000000000000000001101100110100111100111110100110100111011101100111
1110,css,0,0000000000000000000000000000000000000000000000000110001111100111110011
1112,penalty,2,0000000000000000000001110000110010111011101100001110110011101001111001
1113,natl,1,0000000000000000000000000000000000000000001101110110000111101001101100
1114,safely,2,0000000000000000000000000000111001111000011100110110010111011001111001
1115,nsm,0,0000000000000000000000000000000000000000000000000110111011100111101101
1116,tabulated,4,0000000111010011000011100010111010111011001100001111010011001011100100
1117,surprising,3,1110011111010111100101110000111001011010011110011110100111011101100111
1118,rrl,0,0000000000000000000000000000000000000000000000000111001011100101101100
1119,clayton,2,0000000000000000000001100011110110011000011111001111010011011111101110
1120,completion,4,1100011110111111011011110000110110011001011110100110100111011111101110
1122,ample,2,0000000000000000000000000000000000011000011101101111000011011001100101
1123,mated,2,0000000000000000000000000000000000011011011100001111010011001011100100
1124,msr,0,0000000000000000000000000000000000000000000000000110110111100111110010
1125,cruz,1,0000000000000000000000000000000000000000001100011111001011101011111010
1126,files,2,0000000000000000000000000000000000011001101101001110110011001011110011
1127,pipelines,4,0000000111000011010011110000110010111011001101001110111011001011110011
1128,mzard,1,0000000000000000000000000000000000011011011111010110000111100101100100
1129,dynamical,3,0000000110010011110011101110110000111011011101001110001111000011101100
1130,viola,3,0000000000000000000000000000000000011101101101001110111111011001100001
1131,inhibiting,4,1101001110111011010001101001110001011010011110100110100111011101100111
1132,erating,3,0000000000000000000001100101111001011000011110100110100111011101100111
1133,ceptron,2,0000000000000000000001100011110010111100001110100111001011011111101110
1134,ran,1,0000000000000000000000000000000000000000000000000111001011000011101110
1135,writing,2,0000000000000000000001110111111001011010011110100110100111011101100111
1136,cate,2,0000000000000000000000000000000000000000001100011110000111101001100101
1137,embedding,3,0000000110010111011011100010110010111001001100100110100111011101100111
1138,stance,2,0000000000000000000000000000111001111101001100001110111011000111100101
1139,causal,3,0000000000000000000000000000110001111000011110101111001111000011101100
1140,cre,1,0000000000000000000000000000000000000000000000000110001111100101100101
1141,eytan,2,0000000000000000000000000000000000011001011111001111010011000011101110
1142,monotone,4,0000000000000011011011101111110111011011111110100110111111011101100101
1143,chang,1,0000000000000000000000000000000000011000111101000110000111011101100111
1144,instinct,2,0000000000000011010011101110111001111101001101001110111011000111110100
1145,unfaithful,4,1110101110111011001101100001110100111101001101000110011011101011101100
1146,screening,3,0000000111001111000111110010110010111001011101110110100111011101100111
1147,bumping,2,0000000000000000000001100010111010111011011110000110100111011101100111
1148,sinkhorn,2,0000000000000011100111101001110111011010111101000110111111100101101110
1149,visible,3,0000000000000000000001110110110100111100111101001110001011011001100101
1150,meaning,3,0000000000000000000001101101110010111000011101110110100111011101100111
1151,mather,2,0000000000000000000000000000110110111000011110100110100011001011110010
1152,diw,1,0000000000000000000000000000000000000000000000000110010011010011110111
1153,confuse,3,0000000000000000000001100011110111111011101100110111010111100111100101
1154,dispersive,4,1100100110100111100111110000110010111100101110011110100111101101100101
1155,judged,2,0000000000000000000000000000110101011101011100100110011111001011100100
1157,utterance,4,0000000111010111101001110100110010111100101100001110111011000111100101
1158,inde,2,0000000000000000000000000000000000000000001101001110111011001001100101
1159,nonlinear,4,0000000110111011011111101110110110011010011101110110010111000011110010
1160,fli,1,0000000000000000000000000000000000000000000000000110011011011001101001
1161,zahalka,3,0000000000000000000001111010110000111010001100001110110011010111100001
1162,finke,2,0000000000000000000000000000000000011001101101001110111011010111100101
1164,trees,2,0000000000000000000000000000000000011101001110010110010111001011110011
1165,yix,1,0000000000000000000000000000000000000000000000000111100111010011111000
1166,ver,1,0000000000000000000000000000000000000000000000000111011011001011110010
1167,accurately,4,1100001110001111000111110101111001011000011110100110010111011001111001
1168,relies,3,0000000000000000000000000000111001011001011101100110100111001011110011
1169,bradford,2,0000000000000011000101110010110000111001001100110110111111100101100100
1170,idealized,5,0000000110100111001001100101110000111011001101001111101011001011100100
1171,entropic,3,0000000000000011001011101110111010011100101101111111000011010011100011
1172,proposed,3,0000000000000011100001110010110111111100001101111111001111001011100100
1173,ncrg,0,0000000000000000000000000000000000000000001101110110001111100101100111
1175,brevity,2,0000000000000000000001100010111001011001011110110110100111101001111001
1176,iog,2,0000000000000000000000000000000000000000000000000110100111011111100111
1177,vehicles,3,0000000000000011101101100101110100011010011100011110110011001011110011
1178,linster,2,0000000000000000000001101100110100111011101110011111010011001011110010
1180,circles,2,0000000000000000000001100011110100111100101100011110110011001011110011
1181,drastic,2,0000000000000000000001100100111001011000011110011111010011010011100011
1182,normalized,4,1101110110111111100101101101110000111011001101001111101011001011100100
1183,clamp,1,0000000000000000000000000000000000011000111101100110000111011011110000
1184,nel,1,0000000000000000000000000000000000000000000000000110111011001011101100
1185,pothesis,3,0000000000000011100001101111111010011010001100101111001111010011110011
1186,approach,3,0000000000000011000011110000111000011100101101111110000111000111101000
1187,watanabe,4,0000000000000011101111100001111010011000011101110110000111000101100101
1188,multitude,4,0000000110110111101011101100111010011010011110100111010111001001100101
1189,radford,2,0000000000000000000001110010110000111001001100110110111111100101100100
1190,tractable,3,0000000111010011100101100001110001111101001100001110001011011001100101
1191,passed,2,0000000000000000000000000000111000011000011110011111001111001011100100
1193,somer,2,0000000000000000000000000000000000011100111101111110110111001011110010
1194,bialek,3,0000000000000000000000000000110001011010011100001110110011001011101011
1195,xlw,0,0000000000000000000000000000000000000000000000000111100011011001110111
1197,pick,1,0000000000000000000000000000000000000000001110000110100111000111101011
1198,identity,3,0000000000000011010011100100110010111011101110100110100111101001111001
1199,prevented,3,0000000111000011100101100101111011011001011101110111010011001011100100
1200,digitized,4,0000000110010011010011100111110100111101001101001111101011001011100100
1201,survey,2,0000000000000000000000000000111001111101011110010111011011001011111001
1202,tpf,0,0000000000000000000000000000000000000000000000000111010011100001100110
1203,doesn,2,0000000000000000000000000000000000011001001101111110010111100111101110
1204,moderate,4,0000000000000011011011101111110010011001011110010110000111101001100101
1205,broadly,2,0000000000000000000001100010111001011011111100001110010011011001111001
1206,averages,4,0000000000000011000011110110110010111100101100001110011111001011110011
1207,mum,1,0000000000000000000000000000000000000000000000000110110111101011101101
1208,posner,2,0000000000000000000000000000111000011011111110011110111011001011110010
1209,ecoc,2,0000000000000000000000000000000000000000001100101110001111011111100011
1210,seek,2,0000000000000000000000000000000000000000001110011110010111001011101011
1211,huji,2,0000000000000000000000000000000000000000001101000111010111010101101001
1212,fused,2,0000000000000000000000000000000000011001101110101111001111001011100100
1213,ermentrout,4,1100101111001011011011100101110111011101001110010110111111101011110100
1214,vor,1,0000000000000000000000000000000000000000000000000111011011011111110010
1215,occupies,4,0000000000000011011111100011110001111101011110000110100111001011110011
1216,slant,1,0000000000000000000000000000000000011100111101100110000111011101110100
1217,valid,2,0000000000000000000000000000000000011101101100001110110011010011100100
1218,runtime,3,0000000000000000000001110010111010111011101110100110100111011011100101
1219,complex,2,0000000000000000000001100011110111111011011110000110110011001011111000
1220,caruana,4,0000000000000000000001100011110000111100101110101110000111011101100001
1221,formal,2,0000000000000000000000000000110011011011111110010110110111000011101100
1222,huge,2,0000000000000000000000000000000000000000001101000111010111001111100101
1223,moderately,4,1101101110111111001001100101111001011000011110100110010111011001111001
1224,electrical,4,1100101110110011001011100011111010011100101101001110001111000011101100
1225,oid,2,0000000000000000000000000000000000000000000000000110111111010011100100
1226,solved,2,0000000000000000000000000000111001111011111101100111011011001011100100
1227,niques,3,0000000000000000000000000000110111011010011110001111010111001011110011
1228,parkway,2,0000000000000000000001110000110000111100101101011111011111000011111001
1229,queuing,4,0000000000000000000001110001111010111001011110101110100111011101100111
1230,mir,1,0000000000000000000000000000000000000000000000000110110111010011110010
1231,steinbuch,3,0000000111001111101001100101110100111011101100010111010111000111101000
1233,alignment,3,0000000110000111011001101001110011111011101101101110010111011101110100
1234,represen,3,0000000000000011100101100101111000011100101100101111001111001011101110
1235,inal,2,0000000000000000000000000000000000000000001101001110111011000011101100
1237,invariance,5,1101001110111011101101100001111001011010011100001110111011000111100101
1238,flight,1,0000000000000000000000000000110011011011001101001110011111010001110100
1239,dropping,2,0000000000000011001001110010110111111100001110000110100111011101100111
1240,hypercube,3,0000000110100011110011110000110010111100101100011111010111000101100101
1241,spreading,3,0000000111001111100001110010110010111000011100100110100111011101100111
1242,slowed,2,0000000000000000000000000000111001111011001101111111011111001011100100
1243,zisserman,3,0000000111101011010011110011111001111001011110010110110111000011101110
1244,sixess,2,0000000000000000000000000000111001111010011111000110010111100111110011
1246,uai,3,0000000000000000000000000000000000000000000000000111010111000011101001
1247,distance,3,0000000000000011001001101001111001111101001100001110111011000111100101
1248,apparent,3,0000000000000011000011110000111000011000011110010110010111011101110100
1249,parker,2,0000000000000000000000000000111000011000011110010110101111001011110010
1250,cis,1,0000000000000000000000000000000000000000000000000110001111010011110011
1251,coo,2,0000000000000000000000000000000000000000000000000110001111011111101111
1252,katayama,4,0000000000000011010111100001111010011000011111001110000111011011100001
1253,admit,2,0000000000000000000000000000000000011000011100100110110111010011110100
1254,nomial,3,0000000000000000000000000000110111011011111101101110100111000011101100
1255,subjective,4,1110011111010111000101101010110010111000111110100110100111101101100101
1256,kohn,1,0000000000000000000000000000000000000000001101011110111111010001101110
1257,propel,2,0000000000000000000000000000111000011100101101111111000011001011101100
1258,intrusion,4,0000000110100111011101110100111001011101011110011110100111011111101110
1259,documented,4,1100100110111111000111110101110110111001011101110111010011001011100100
1260,koistinen,4,0000000110101111011111101001111001111101001101001110111011001011101110
1261,heavily,3,0000000000000000000001101000110010111000011110110110100111011001111001
1262,elsevier,4,0000000000000011001011101100111001111001011110110110100111001011110010
1263,blank,1,0000000000000000000000000000000000011000101101100110000111011101101011
1265,known,1,0000000000000000000000000000000000011010111101110110111111101111101110
1266,published,3,0000000111000011101011100010110110011010011110011110100011001011100100
1267,arizona,4,0000000000000000000001100001111001011010011111010110111111011101100001
1268,imposing,3,0000000000000011010011101101111000011011111110011110100111011101100111
1269,dichotomy,3,0000000110010011010011100011110100011011111110100110111111011011111001
1270,ruyter,2,0000000000000000000000000000111001011101011111001111010011001011110010
1271,cording,2,0000000000000000000001100011110111111100101100100110100111011101100111
1272,ilar,2,0000000000000000000000000000000000000000001101001110110011000011110010
1273,separable,4,0000000111001111001011110000110000111100101100001110001011011001100101
1274,girosi,3,0000000000000000000000000000110011111010011110010110111111100111101001
1275,grinvald,2,0000000000000011001111110010110100111011101110110110000111011001100100
1276,devel,2,0000000000000000000000000000000000011001001100101111011011001011101100
1279,yale,2,0000000000000000000000000000000000000000001111001110000111011001100101
1280,ghost,1,0000000000000000000000000000000000011001111101000110111111100111110100
1281,happy,1,0000000000000000000000000000000000011010001100001111000011100001111001
1282,pappu,2,0000000000000000000000000000000000011100001100001111000011100001110101
1283,monitoring,4,1101101110111111011101101001111010011011111110010110100111011101100111
1284,telecom,3,0000000000000000000001110100110010111011001100101110001111011111101101
1285,pursue,3,0000000000000000000000000000111000011101011110010111001111101011100101
1286,miyata,3,0000000000000000000000000000110110111010011111001110000111101001100001
1287,execution,5,0000000110010111110001100101110001111101011110100110100111011111101110
1288,neurosc,3,0000000000000000000001101110110010111101011110010110111111100111100011
1289,elf,1,0000000000000000000000000000000000000000000000000110010111011001100110
1290,spiegel,3,0000000000000000000001110011111000011010011100101110011111001011101100
1291,saved,2,0000000000000000000000000000000000011100111100001111011011001011100100
1292,innate,3,0000000000000000000000000000110100111011101101110110000111101001100101
1293,enabling,3,0000000000000011001011101110110000111000101101100110100111011101100111
1294,variation,5,0000000111011011000011110010110100111000011110100110100111011111101110
1295,conform,2,0000000000000000000001100011110111111011101100110110111111100101101101
1296,nelson,2,0000000000000000000000000000110111011001011101100111001111011111101110
1297,pruning,2,0000000000000000000001110000111001011101011101110110100111011101100111
1298,propagates,4,1110000111001011011111110000110000111001111100001111010011001011110011
1299,introduces,4,1101001110111011101001110010110111111001001110101110001111001011110011
1300,nation,3,0000000000000000000000000000110111011000011110100110100111011111101110
1301,mcgraw,1,0000000000000000000000000000110110111000111100111111001011000011110111
1302,transpose,3,0000000111010011100101100001110111011100111110000110111111100111100101
1303,cog,1,0000000000000000000000000000000000000000000000000110001111011111100111
1305,shunting,2,0000000000000011100111101000111010111011101110100110100111011101100111
1306,strate,2,0000000000000000000000000000111001111101001110010110000111101001100101
1308,gluck,1,0000000000000000000000000000000000011001111101100111010111000111101011
1310,interpo,3,0000000000000000000001101001110111011101001100101111001011100001101111
1311,ram,1,0000000000000000000000000000000000000000000000000111001011000011101101
1312,lln,0,0000000000000000000000000000000000000000000000000110110011011001101110
1313,insight,2,0000000000000000000001101001110111011100111101001110011111010001110100
1314,urinalysis,4,1110101111001011010011101110110000111011001111001111001111010011110011
1315,nication,4,0000000000000011011101101001110001111000011110100110100111011111101110
1316,omitting,3,0000000000000011011111101101110100111101001110100110100111011101100111
1317,ret,1,0000000000000000000000000000000000000000000000000111001011001011110100
1319,detail,3,0000000000000000000000000000110010011001011110100110000111010011101100
1320,bytes,1,0000000000000000000000000000000000011000101111001111010011001011110011
1321,inherently,3,1101001110111011010001100101111001011001011101110111010011011001111001
1323,uhlenbeck,3,0000000111010111010001101100110010111011101100010110010111000111101011
1324,muthusamy,3,0000000110110111101011110100110100011101011110011110000111011011111001
1325,oscillator,4,1101111111001111000111101001110110011011001100001111010011011111110010
1327,rowat,2,0000000000000000000000000000000000011100101101111111011111000011110100
1328,seemingly,3,0000000111001111001011100101110110111010011101110110011111011001111001
1329,sio,2,0000000000000000000000000000000000000000000000000111001111010011101111
1330,presently,2,0000000111000011100101100101111001111001011101110111010011011001111001
1331,effector,3,0000000000000011001011100110110011011001011100011111010011011111110010
1332,acceptably,3,1100001110001111000111100101111000011101001100001110001011011001111001
1333,durbin,2,0000000000000000000000000000110010011101011110010110001011010011101110
1334,achieved,4,0000000000000011000011100011110100011010011100101111011011001011100100
1335,equalities,6,1100101111000111101011100001110110011010011110100110100111001011110011
1337,freed,2,0000000000000000000000000000000000011001101110010110010111001011100100
1338,rating,2,0000000000000000000000000000111001011000011110100110100111011101100111
1339,argue,3,0000000000000000000000000000000000011000011110010110011111101011100101
1340,eet,2,0000000000000000000000000000000000000000000000000110010111001011110100
1341,ignore,3,0000000000000000000000000000110100111001111101110110111111100101100101
1343,feedback,3,0000000000000011001101100101110010111001001100010110000111000111101011
1344,flake,2,0000000000000000000000000000000000011001101101100110000111010111100101
1347,missed,2,0000000000000000000000000000110110111010011110011111001111001011100100
1348,share,2,0000000000000000000000000000000000011100111101000110000111100101100101
1349,definite,4,0000000000000011001001100101110011011010011101110110100111101001100101
1350,gesturing,3,0000000110011111001011110011111010011101011110010110100111011101100111
1351,semi,2,0000000000000000000000000000000000000000001110011110010111011011101001
1352,yearly,2,0000000000000000000000000000111100111001011100001111001011011001111001
1353,barely,2,0000000000000000000000000000110001011000011110010110010111011001111001
1354,discussed,3,0000000110010011010011110011110001111101011110011111001111001011100100
1355,pml,0,0000000000000000000000000000000000000000000000000111000011011011101100
1356,vation,3,0000000000000000000000000000111011011000011110100110100111011111101110
1357,foundation,5,1100110110111111101011101110110010011000011110100110100111011111101110
1358,sult,1,0000000000000000000000000000000000000000001110011111010111011001110100
1359,twenty,1,0000000000000000000000000000111010011101111100101110111011101001111001
1360,heaviside,5,0000000110100011001011100001111011011010011110011110100111001001100101
1361,gram,1,0000000000000000000000000000000000000000001100111111001011000011101101
1362,proctolin,3,0000000111000011100101101111110001111101001101111110110011010011101110
1363,deficit,3,0000000000000000000001100100110010111001101101001110001111010011110100
1364,tapped,2,0000000000000000000000000000111010011000011110000111000011001011100100
1365,acrobot,3,0000000000000000000001100001110001111100101101111110001011011111110100
1366,absence,3,0000000000000000000001100001110001011100111100101110111011000111100101
1367,addison,3,0000000000000000000001100001110010011001001101001111001111011111101110
1368,aer,2,0000000000000000000000000000000000000000000000000110000111001011110010
1369,newspaper,3,0000000110111011001011110111111001111100001100001111000011001011110010
1370,iiw,2,0000000000000000000000000000000000000000000000000110100111010011110111
1371,fiber,2,0000000000000000000000000000000000011001101101001110001011001011110010
1372,required,4,0000000000000011100101100101111000111101011101001111001011001011100100
1373,faulty,2,0000000000000000000000000000110011011000011110101110110011101001111001
1374,copenhagen,4,1100011110111111100001100101110111011010001100001110011111001011101110
1375,battery,2,0000000000000000000001100010110000111101001110100110010111100101111001
1377,ard,1,0000000000000000000000000000000000000000000000000110000111100101100100
1378,maxq,1,0000000000000000000000000000000000000000001101101110000111110001110001
1379,suming,2,0000000000000000000000000000111001111101011101101110100111011101100111
1380,duplicates,4,1100100111010111100001101100110100111000111100001111010011001011110011
1381,naming,2,0000000000000000000000000000110111011000011101101110100111011101100111
1382,george,3,0000000000000000000000000000110011111001011101111111001011001111100101
1383,pollard,2,0000000000000000000001110000110111111011001101100110000111100101100100
1384,surgeon,3,0000000000000000000001110011111010111100101100111110010111011111101110
1385,attractor,3,0000000110000111101001110100111001011000011100011111010011011111110010
1386,cohen,2,0000000000000000000000000000000000011000111101111110100011001011101110
1387,mclachlan,2,0000000110110111000111101100110000111000111101000110110011000011101110
1388,triangular,4,1110100111001011010011100001110111011001111110101110110011000011110010
1389,culture,3,0000000000000000000001100011111010111011001110100111010111100101100101
1390,etienne,4,0000000000000000000001100101111010011010011100101110111011011101100101
1391,bernard,2,0000000000000000000001100010110010111100101101110110000111100101100100
1393,oregon,3,0000000000000000000000000000110111111100101100101110011111011111101110
1394,leo,2,0000000000000000000000000000000000000000000000000110110011001011101111
1395,acous,3,0000000000000000000000000000000000011000011100011110111111101011110011
1397,glance,2,0000000000000000000000000000110011111011001100001110111011000111100101
1399,deriv,2,0000000000000000000000000000000000011001001100101111001011010011110110
1400,excluded,3,0000000000000011001011111000110001111011001110101110010011001011100100
1401,pend,1,0000000000000000000000000000000000000000001110000110010111011101100100
1402,shumway,2,0000000000000000000001110011110100011101011101101111011111000011111001
1403,spa,1,0000000000000000000000000000000000000000000000000111001111100001100001
1404,emd,1,0000000000000000000000000000000000000000000000000110010111011011100100
1405,incur,2,0000000000000000000000000000000000011010011101110110001111101011110010
1406,encounter,4,0000000110010111011101100011110111111101011101110111010011001011110010
1407,rulenet,3,0000000000000000000001110010111010111011001100101110111011001011110100
1408,receptive,4,0000000111001011001011100011110010111100001110100110100111101101100101
1409,endmember,3,0000000110010111011101100100110110111001011101101110001011001011110010
1410,dirac,2,0000000000000000000000000000000000011001001101001111001011000011100011
1411,lyon,1,0000000000000000000000000000000000000000001101100111100111011111101110
1412,inevitable,5,1101001110111011001011110110110100111101001100001110001011011001100101
1413,travel,2,0000000000000000000000000000111010011100101100001111011011001011101100
1414,intricate,4,0000000110100111011101110100111001011010011100011110000111101001100101
1415,fukushima,4,0000000110011011101011101011111010111100111101000110100111011011100001
1417,ongoing,3,0000000000000000000001101111110111011001111101111110100111011101100111
1419,subfield,3,0000000000000011100111110101110001011001101101001110010111011001100100
1422,edge_x,2,0000000000000000000000000000110010111001001100111110010110111111111000
1424,mlearn,2,0000000000000000000000000000110110111011001100101110000111100101101110
1425,dgha,1,0000000000000000000000000000000000000000001100100110011111010001100001
1426,lemmas,2,0000000000000000000000000000110110011001011101101110110111000011110011
1427,imbalance,4,0000000110100111011011100010110000111011001100001110111011000111100101
1428,rotational,5,1110010110111111101001100001111010011010011101111110111011000011101100
1430,contin,2,0000000000000000000000000000110001111011111101110111010011010011101110
1431,hall,1,0000000000000000000000000000000000000000001101000110000111011001101100
1432,intra,2,0000000000000000000000000000000000011010011101110111010011100101100001
1433,mazimum,3,0000000000000000000001101101110000111110101101001110110111101011101101
1434,ca3,1,0000000000000000000000000000000000000000000000000011000111100001110011
1435,manuscript,3,1101101110000111011101110101111001111000111110010110100111100001110100
1436,ted,1,0000000000000000000000000000000000000000000000000111010011001011100100
1437,role,2,0000000000000000000000000000000000000000001110010110111111011001100101
1438,heading,3,0000000000000000000001101000110010111000011100100110100111011101100111
1439,dailey,3,0000000000000000000000000000110010011000011101001110110011001011111001
1440,owen,2,0000000000000000000000000000000000000000001101111111011111001011101110
1441,exceeded,4,0000000000000011001011111000110001111001011100101110010011001011100100
1442,chan,1,0000000000000000000000000000000000000000001100011110100011000011101110
1443,couples,3,0000000000000000000001100011110111111101011110000110110011001011110011
1444,rehfuss,2,0000000000000000000001110010110010111010001100110111010111100111110011
1445,newton,2,0000000000000000000000000000110111011001011110111111010011011111101110
1446,magellan,3,0000000000000011011011100001110011111001011101100110110011000011101110
1448,cow,1,0000000000000000000000000000000000000000000000000110001111011111110111
1449,solve,2,0000000000000000000000000000000000011100111101111110110011101101100101
1450,britten,2,0000000000000000000001100010111001011010011110100111010011001011101110
1451,principles,3,1110000111001011010011101110110001111010011110000110110011001011110011
1452,sample,2,0000000000000000000000000000111001111000011101101111000011011001100101
1453,decreasing,4,1100100110010111000111110010110010111000011110011110100111011101100111
1454,harris,2,0000000000000000000000000000110100011000011110010111001011010011110011
